selected_file_path,detected_tournament_label,detected_school_folder,detected_team_code,reason_selected
ArizonaState\SaSm\ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-1.docx,Northwestern,ArizonaState,SaSm,matched tournament token using tournament_disclosure_counts logic
ArizonaState\SaSm\ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-3.docx,Northwestern,ArizonaState,SaSm,matched tournament token using tournament_disclosure_counts logic
ArizonaState\SaSm\ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-5.docx,Northwestern,ArizonaState,SaSm,matched tournament token using tournament_disclosure_counts logic
ArizonaState\SaSm\ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-8.docx,Northwestern,ArizonaState,SaSm,matched tournament token using tournament_disclosure_counts logic
ArizonaState\SaSm\ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-2.docx,Northwestern,ArizonaState,SaSm,matched tournament token using tournament_disclosure_counts logic
ArizonaState\SaSm\ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-4.docx,Northwestern,ArizonaState,SaSm,matched tournament token using tournament_disclosure_counts logic
ArizonaState\SaSm\ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-6.docx,Northwestern,ArizonaState,SaSm,matched tournament token using tournament_disclosure_counts logic
ArizonaState\SaSm\ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-7.docx,Northwestern,ArizonaState,SaSm,matched tournament token using tournament_disclosure_counts logic
Baylor\DaLa\Baylor-DaLa-Neg-Northwestern-Round-2.docx,Northwestern,Baylor,DaLa,matched tournament token using tournament_disclosure_counts logic
Baylor\DaLa\Baylor-DaLa-Neg-Northwestern-Round-4.docx,Northwestern,Baylor,DaLa,matched tournament token using tournament_disclosure_counts logic
Baylor\DaLa\Baylor-DaLa-Neg-Northwestern-Round-5.docx,Northwestern,Baylor,DaLa,matched tournament token using tournament_disclosure_counts logic
Baylor\DaLa\Baylor-DaLa-Neg-Northwestern-Round-8.docx,Northwestern,Baylor,DaLa,matched tournament token using tournament_disclosure_counts logic
Baylor\KeBe\Baylor-KeBe-Aff-Northwestern-Round-2.docx,Northwestern,Baylor,KeBe,matched tournament token using tournament_disclosure_counts logic
Baylor\KeBe\Baylor-KeBe-Neg-Northwestern-Round-1.docx,Northwestern,Baylor,KeBe,matched tournament token using tournament_disclosure_counts logic
Baylor\KeBe\Baylor-KeBe-Neg-Northwestern-Round-3.docx,Northwestern,Baylor,KeBe,matched tournament token using tournament_disclosure_counts logic
Baylor\KeBe\Baylor-KeBe-Neg-Northwestern-Round-5.docx,Northwestern,Baylor,KeBe,matched tournament token using tournament_disclosure_counts logic
Baylor\KeBe\Baylor-KeBe-Neg-Northwestern-Round-7.docx,Northwestern,Baylor,KeBe,matched tournament token using tournament_disclosure_counts logic
Baylor\LoLi\Baylor-LoLi-Aff-Northwestern-Round-2.docx,Northwestern,Baylor,LoLi,matched tournament token using tournament_disclosure_counts logic
Baylor\LoLi\Baylor-LoLi-Aff-Northwestern-Round-5.docx,Northwestern,Baylor,LoLi,matched tournament token using tournament_disclosure_counts logic
Baylor\LoLi\Baylor-LoLi-Aff-Northwestern-Round-7.docx,Northwestern,Baylor,LoLi,matched tournament token using tournament_disclosure_counts logic
Baylor\LoLi\Baylor-LoLi-Aff-Northwestern-Round-8.docx,Northwestern,Baylor,LoLi,matched tournament token using tournament_disclosure_counts logic
Baylor\LoLi\Baylor-LoLi-Neg-Northwestern-Round-1.docx,Northwestern,Baylor,LoLi,matched tournament token using tournament_disclosure_counts logic
Baylor\LoLi\Baylor-LoLi-Neg-Northwestern-Round-3.docx,Northwestern,Baylor,LoLi,matched tournament token using tournament_disclosure_counts logic
