source_file,team_code,tournament_name,round_number,side,opponent,win_loss,judge,num_positions,num_adv_inh_solv,num_offs,num_cards_total,num_cards_with_highlight,total_highlighted_words,parse_confidence,warnings,tournament_source,num_offs_x_num_cards_total,num_offs_x_total_highlighted_words,num_cards_total_x_num_cards_with_highlight,num_positions_x_num_cards_total,num_adv_inh_solv_x_num_cards_total,dataset_split
UTD-HaKa-Aff-01---Northwestern-Round-1.docx,UTD HK,Northwestern,1,aff,Northwestern PS,L,"Souchet Delph, Kenny Karthik Mahintha",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Wyoming-CaHa-Neg-Gonzaga-Round-6.docx,Wyoming CH,Gonzaga,6,neg,Trinity CK - ONLINE,W,"Khalikov Reza Husain - ONLINE, Irshad Campbell Jaden",1,0,1,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Georgia-KaCh-Neg-1---Northwestern-Round-7.docx,Georgia CK,Northwestern,7,neg,Kansas State DS,W,"Draeger Harper, Tessa Kaidar-Heafetz Eshkar",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Northwestern-ArHi-Aff-01---Gonzaga-Round-6.docx,Northwestern AH,Gonzaga,6,aff,Emory TS - ONLINE,L,"Tai Cavanaugh - ONLINE, Ryan Hines Brock",6,6,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Michigan-HwMc-Neg-2---Gonzaga-Round-4.docx,Michigan HM,Gonzaga,4,neg,Northwestern LL,W,"Lundberg Navarrete - ONLINE, Manny Hwang Calvin",13,0,13,31,31,2726,high,,Gonzaga,403,35438,961,403,0,train
Michigan-ChSa-Aff-3---Gonzaga-Round-7.docx,Michigan CS,Gonzaga,7,aff,Emory CR - ONLINE,W,"Charabuddi Maag - ONLINE, Eric Saudek Ben",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Emory-AgSt-Aff-1---Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,Emory AS,Northwestern,3,aff,Iowa PA,L,"Anderson McElligott Meadows, Chad Aggarwal Sachin",3,3,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
UCDavis-MiSh-Aff-Northwestern-Round-1.docx,UC Davis MS,Northwestern,1,aff,Emory CG,W,"Swidecki, Michael Shaikh Umar",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Wyoming-WiWi-Neg-4.-Gonzaga-Round-3.docx,Wyoming WW,Gonzaga,3,neg,Emory GS - ONLINE,L,"Song Williams, DJ Willson Jean-Luc",3,0,3,3,3,871,high,,Gonzaga,9,2613,9,9,0,train
MichiganState-GeSh-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,Michigan State GS,Northwestern,2,neg,Binghamton CK,L,"King Turner - ONLINE, Trevor Gearring Arielle",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
DartmouthCollege-CaGo-Neg-1---NUSO-Round-2.docx,Dartmouth CG,Northwestern,2,neg,Binghamton TP,W,"Patel Lasseter, Storm Cai Nora",2,0,2,0,0,0,medium,,Northwestern,0,0,0,0,0,train
DartmouthCollege-KaRa-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,Dartmouth KR,Northwestern,3,neg,Missouri State NS,L,"Siever Repko, William Rao Sebastian",5,0,5,7,7,1819,high,,Northwestern,35,9095,49,35,0,train
Emory-GrCh-Neg-3---Gonzaga-Round-8.docx,Emory CG,Gonzaga,8,neg,Kansas BM,L,"McConnell Flores, Jay-Z Chen Jason",5,0,5,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
Iowa-KlSe-Neg-1.-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-5.docx,Iowa KS,Northwestern,5,neg,Kansas MB - ONLINE,L,"Bath Reddy - ONLINE, Pav Severson Lily",1,0,1,0,0,0,medium,,Northwestern,0,0,0,0,0,train
KansasState-DaRa-Neg-1---Northwestern-Round-3.docx,Kansas State DR,Northwestern,3,neg,UC Berkeley UB,L,"Boguslavsky Dal Pra, Sophia Day Taryn",4,0,4,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Emory-GaSo-Aff-1.-Northwestern-Round-6.docx,Emory GS,Northwestern,6,aff,Iowa PA,W,"Anderson McElligott Yonter, Victoria Gallagher Daniel",4,4,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Michigan-ShSh-Neg-Northwestern-Round-6.docx,Michigan SS,Northwestern,6,neg,Binghamton CK,W,"King Davis, Nathan Shih Conner",4,0,4,11,11,1839,high,,Northwestern,44,7356,121,44,0,train
MichiganState-GeSh-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,Michigan State GS,Northwestern,3,neg,Michigan CS,W,"Saudek Monteith, Squid Gearring Arielle",1,0,1,1,1,333,high,,Northwestern,1,333,1,1,0,train
Northwestern-ArTa-Neg-3.-Gonzaga-Round-6.docx,Northwestern AT,Gonzaga,6,neg,CSU Long Beach OM,L,"Medina Regnier, Jason Arney Buck",3,0,3,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
WakeForest-LiSf-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-3.docx,Wake Forest SL,Northwestern,3,neg,UC Berkeley RM,W,"Reichel Reeves, Peyton Sampat Jayden",6,0,6,4,4,1766,high,,Northwestern,24,10596,16,24,0,train
MacalesterCollege-CoDu-Aff-Owen-L-Coon-Memorial-Tournament-at-Northwestern-Round-8.docx,Macalester DC,Northwestern,8,aff,Georgetown LN,L,"Nanji Green, Justin Durbin Annabelle",2,2,0,10,10,1978,high,,Northwestern,0,0,100,20,20,train
Emory-ChFe-Neg-Northwestern-Round-7.docx,Emory CF,Northwestern,7,neg,Southern California TM - ONLINE,W,"Troup Allsup - ONLINE, Andrew Feldman Conor",3,0,3,3,3,1039,high,,Northwestern,9,3117,9,9,0,train
Michigan-EsSh-Aff-Gonzaga-Round-8.docx,Michigan ES,Gonzaga,8,aff,Emory GS - ONLINE,L,"Song O'Gorman - ONLINE, Danielle Esmailzadeh Cyrus",8,8,0,60,60,4555,high,,Gonzaga,0,0,3600,480,480,train
Minnesota-HaUs-Aff-3-Gonzaga-University-Jesuit-Debates-Round-4.docx,Minnesota HU,Gonzaga,4,aff,Kansas BM,L,"McConnell Murphy, Devane Usenov Timur",15,15,0,33,33,3299,high,,Gonzaga,0,0,1089,495,495,train
Trinity-KiPa-Aff-1---NUSO-Round-2.docx,Trinity PK,Northwestern,2,aff,North Texas VH - ONLINE,W,"Hasper Kohlenberger - ONLINE, Piper Patterson Ruth",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Kansas-ChSu-Neg-1---Northwestern-Round-3.docx,Kansas SC,Northwestern,3,neg,Arizona State SS - ONLINE,W,"Saxena Karthikeyan, Viveth Chidambaranathan Kavinayashri",4,0,4,0,0,0,medium,,Northwestern,0,0,0,0,0,train
DartmouthCollege-JoBe-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-2.docx,Dartmouth BJ,Northwestern,2,neg,Liberty CL,L,"Layton Delph, Kenny Ben-Abdallah Sheima",2,0,2,5,5,1940,high,,Northwestern,10,3880,25,10,0,train
Iowa-PaAn-Neg-Owen-L-Coon-Memorial-Debates-at-Northwestern-Round-6.docx,Iowa PA,Northwestern,6,neg,Emory GS,L,"Song Yonter, Victoria Parfenoff Grey",0,0,0,0,0,0,medium,,Northwestern,0,0,0,0,0,train
Northwestern-NePa-Aff-2---Gonzaga-Round-4.docx,Northwestern NP,Gonzaga,4,aff,Michigan BP,L,"Park Jordan - ONLINE, Tommy Nestor Maryclare",0,0,0,0,0,0,medium,,Gonzaga,0,0,0,0,0,train
