source_file,team_code,tournament_name,round_number,side,opponent,win_loss,judge,num_positions,num_adv_inh_solv,num_offs,num_cards_total,num_cards_with_highlight,total_highlighted_words,parse_confidence,warnings,dataset_split
ArizonaState-SaSm-Neg-3---Gonzaga-Round-1.docx,Arizona State SS,Gonzaga,1,neg,UC Berkeley RM,L,"Reichel Spiers, Jared Smith Aden",0,0,0,0,0,0,medium,,train
ArizonaState-SaSm-Neg-3---Gonzaga-Round-4.docx,Arizona State SS,Gonzaga,4,neg,Georgia CK,L,"Kaidar-Heafetz Snelling - ONLINE, Tyler Smith Aden",0,0,0,0,0,0,medium,,validation
ArizonaState-SaSm-Neg-3---Gonzaga-Round-5.docx,Arizona State SS,Gonzaga,5,neg,Emory TS - ONLINE,W,"Tai Anderson - ONLINE, Ralph Smith Aden",1,0,1,3,3,197,high,,train
ArizonaState-SaSm-Neg-3---Gonzaga-Round-7.docx,Arizona State SS,Gonzaga,7,neg,Georgetown LN,W,"Nanji Watson - ONLINE, Solomon Smith Aden",0,0,0,0,0,0,medium,,train
Baylor-DaLa-Neg-Gonzaga-Round-2.docx,Baylor DL,Gonzaga,2,neg,Michigan CS,W,"Saudek Flores, Jay-Z Darwish Omar",0,0,0,0,0,0,medium,,train
Baylor-DaLa-Neg-Gonzaga-Round-3.docx,Baylor DL,Gonzaga,3,neg,Northwestern LR,L,"Rubin McCullough, Hunter Darwish Omar",2,0,2,7,7,2317,high,,validation
Baylor-DaLa-Neg-Gonzaga-Round-6.docx,Baylor DL,Gonzaga,6,neg,Kansas UA,L,"Ain Osei - ONLINE, Kwudjwa Darwish Omar",4,0,4,2,2,1019,high,,test
Baylor-DaLa-Neg-Gonzaga-Round-8.docx,Baylor DL,Gonzaga,8,neg,George Mason WW - ONLINE,L,"Wright McGraw, Bennett Darwish Omar",1,0,1,3,3,1305,high,,train
CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-4.docx,CSU Long Beach OM,Gonzaga,4,aff,Iowa BS - ONLINE,W,"Sanderson Michael, Joshua Ortega Curtis",1,1,0,0,0,0,medium,,train
CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-6.docx,CSU Long Beach OM,Gonzaga,6,aff,Northwestern AT,W,"Tahirkheli Regnier, Jason Ortega Curtis",1,1,0,0,0,0,medium,,train
CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-8.docx,CSU Long Beach OM,Gonzaga,8,aff,Michigan State JS - ONLINE,W,"Scully Dal Pra - ONLINE, Sophia Ortega Curtis",1,1,0,0,0,0,medium,,validation
CSULongBeach-OrMe-Neg-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-1.docx,CSU Long Beach OM,Gonzaga,1,neg,Michigan AO,W,"Ou McCullough, Hunter Ortega Curtis",0,0,0,0,0,0,medium,,train
CSULongBeach-OrMe-Neg-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-3.docx,CSU Long Beach OM,Gonzaga,3,neg,Iowa SK - ONLINE,W,"Kleiman Wiessner - ONLINE, Max Ortega Curtis",0,0,0,0,0,0,medium,,train
