file_index,selected_file_path,returncode,parse_success,join_success,summary_rows,stdout_excerpt,stderr_excerpt
1,ArizonaState\SaSm\ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-1.docx,0,True,True,1,Parse complete. | Doc: ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-1.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
2,ArizonaState\SaSm\ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-3.docx,0,True,True,1,Parse complete. | Doc: ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-3.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
3,ArizonaState\SaSm\ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-5.docx,0,True,True,1,Parse complete. | Doc: ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-5.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
4,ArizonaState\SaSm\ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-8.docx,0,True,True,1,Parse complete. | Doc: ArizonaState-SaSm-Aff-1---Owen-L.-Coon-Round-8.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
5,ArizonaState\SaSm\ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-2.docx,0,True,True,1,Parse complete. | Doc: ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-2.docx | Positions detected: 2 | Cards detected: 6 | Cards with highlighted/underlined read proxy: 6 | ,
6,ArizonaState\SaSm\ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-4.docx,0,True,True,1,Parse complete. | Doc: ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-4.docx | Positions detected: 2 | Cards detected: 7 | Cards with highlighted/underlined read proxy: 7 | ,
7,ArizonaState\SaSm\ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-6.docx,0,True,True,1,Parse complete. | Doc: ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-6.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
8,ArizonaState\SaSm\ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-7.docx,0,True,True,1,Parse complete. | Doc: ArizonaState-SaSm-Neg-1---Owen-L.-Coon-Round-7.docx | Positions detected: 2 | Cards detected: 6 | Cards with highlighted/underlined read proxy: 6 | ,
9,Baylor\DaLa\Baylor-DaLa-Neg-Northwestern-Round-2.docx,0,True,True,1,Parse complete. | Doc: Baylor-DaLa-Neg-Northwestern-Round-2.docx | Positions detected: 2 | Cards detected: 6 | Cards with highlighted/underlined read proxy: 6 | ,
10,Baylor\DaLa\Baylor-DaLa-Neg-Northwestern-Round-4.docx,0,True,True,1,Parse complete. | Doc: Baylor-DaLa-Neg-Northwestern-Round-4.docx | Positions detected: 3 | Cards detected: 5 | Cards with highlighted/underlined read proxy: 5 | ,
11,Baylor\DaLa\Baylor-DaLa-Neg-Northwestern-Round-5.docx,0,True,True,1,Parse complete. | Doc: Baylor-DaLa-Neg-Northwestern-Round-5.docx | Positions detected: 3 | Cards detected: 8 | Cards with highlighted/underlined read proxy: 8 | ,
12,Baylor\DaLa\Baylor-DaLa-Neg-Northwestern-Round-8.docx,0,True,True,1,Parse complete. | Doc: Baylor-DaLa-Neg-Northwestern-Round-8.docx | Positions detected: 4 | Cards detected: 6 | Cards with highlighted/underlined read proxy: 6 | ,
13,Baylor\KeBe\Baylor-KeBe-Aff-Northwestern-Round-2.docx,0,True,True,1,Parse complete. | Doc: Baylor-KeBe-Aff-Northwestern-Round-2.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
14,Baylor\KeBe\Baylor-KeBe-Neg-Northwestern-Round-1.docx,0,True,True,1,Parse complete. | Doc: Baylor-KeBe-Neg-Northwestern-Round-1.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
15,Baylor\KeBe\Baylor-KeBe-Neg-Northwestern-Round-3.docx,0,True,True,1,Parse complete. | Doc: Baylor-KeBe-Neg-Northwestern-Round-3.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
16,Baylor\KeBe\Baylor-KeBe-Neg-Northwestern-Round-5.docx,0,True,True,1,Parse complete. | Doc: Baylor-KeBe-Neg-Northwestern-Round-5.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
17,Baylor\KeBe\Baylor-KeBe-Neg-Northwestern-Round-7.docx,0,True,True,1,Parse complete. | Doc: Baylor-KeBe-Neg-Northwestern-Round-7.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
18,Baylor\LoLi\Baylor-LoLi-Aff-Northwestern-Round-2.docx,0,True,True,1,Parse complete. | Doc: Baylor-LoLi-Aff-Northwestern-Round-2.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
19,Baylor\LoLi\Baylor-LoLi-Aff-Northwestern-Round-5.docx,0,True,True,1,Parse complete. | Doc: Baylor-LoLi-Aff-Northwestern-Round-5.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
20,Baylor\LoLi\Baylor-LoLi-Aff-Northwestern-Round-7.docx,0,True,True,1,Parse complete. | Doc: Baylor-LoLi-Aff-Northwestern-Round-7.docx | Positions detected: 2 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
21,Baylor\LoLi\Baylor-LoLi-Aff-Northwestern-Round-8.docx,0,True,True,1,Parse complete. | Doc: Baylor-LoLi-Aff-Northwestern-Round-8.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
