source_file,team_code,tournament_name,round_number,side,opponent,win_loss,judge,num_positions,num_adv_inh_solv,num_offs,num_cards_total,num_cards_with_highlight,total_highlighted_words,parse_confidence,warnings
ArizonaState-SaSm-Neg-3---Gonzaga-Round-1.docx,Michigan SS,Gonzaga,1,neg,Trinity KP,W,"King Foley, Jordan Shih Conner",0,0,0,0,0,0,medium,
ArizonaState-SaSm-Neg-3---Gonzaga-Round-4.docx,Michigan SS,Gonzaga,4,neg,Wyoming WW,W,"Willson Bankey, Brendon Shih Conner",0,0,0,0,0,0,medium,
ArizonaState-SaSm-Neg-3---Gonzaga-Round-5.docx,Michigan SS,Gonzaga,5,neg,Iowa PA - ONLINE,L,"Anderson McElligott Ramsey - ONLINE, Jordan Shih Conner",1,0,1,3,3,197,high,
ArizonaState-SaSm-Neg-3---Gonzaga-Round-7.docx,Michigan SS,Gonzaga,7,neg,Stanford LY - ONLINE,W,"Yan Katz - ONLINE, Will Shih Conner",0,0,0,0,0,0,medium,
Emory-CrSt-Aff-Gonzaga-Round-1.docx,Michigan CS,Gonzaga,1,aff,CSU Long Beach SS - HYBRID,W,"Saenz Baez, Kristiana Saudek Ben",2,2,0,0,0,0,medium,
Emory-CrSt-Aff-Gonzaga-Round-3.docx,Michigan CS,Gonzaga,3,aff,Kansas UA,L,"Ain Rao, Bryce Saudek Ben",2,2,0,0,0,0,medium,
Emory-CrSt-Aff-Gonzaga-Round-5.docx,Michigan CS,Gonzaga,5,aff,Georgetown AC,L,"Cowan Stannard, Matt Saudek Ben",2,2,0,1,1,358,high,
Emory-CrSt-Aff-Gonzaga-Round-7.docx,Michigan CS,Gonzaga,7,aff,Emory CR - ONLINE,W,"Charabuddi Maag - ONLINE, Eric Saudek Ben",6,6,0,0,0,0,medium,
Emory-CrSt-Neg-Gonzaga-Round-4.docx,Michigan CS,Gonzaga,4,neg,Emory KW - ONLINE,W,"Kibe Cavanaugh - ONLINE, Ryan Saudek Ben",4,0,4,0,0,0,medium,
Emory-CrSt-Neg-Gonzaga-Round-6.docx,Michigan CS,Gonzaga,6,neg,Iowa SK - ONLINE,L,"Kleiman Schatz - ONLINE, Joe Saudek Ben",6,0,6,0,0,0,medium,
Georgetown-AgCo-Aff-04---Gonzaga-Round-1.docx,Michigan AO,Gonzaga,1,aff,CSU Long Beach OM,L,"Medina McCullough, Hunter Ou Robert",1,1,0,0,0,0,medium,
Georgetown-AgCo-Aff-04---Gonzaga-Round-4.docx,Michigan AO,Gonzaga,4,aff,Emory RY _ ONLINE,W,"Young O'Gorman - ONLINE, Danielle Ou Robert",4,4,0,0,0,0,medium,
Georgetown-AgCo-Aff-04---Gonzaga-Round-6.docx,Michigan AO,Gonzaga,6,aff,UC Berkeley BU,W,"Boguslavsky Spiers, Jared Ou Robert",1,1,0,0,0,0,medium,
Georgetown-AgCo-Aff-04---Gonzaga-Round-8.docx,Michigan AO,Gonzaga,8,aff,Northwestern AT,L,"Tahirkheli Vergho, Tyler Ou Robert",4,4,0,0,0,0,medium,
Georgetown-AgCo-Neg-04---Gonzaga-Round-2.docx,Michigan AO,Gonzaga,2,neg,Emory KW - ONLINE,W,"Kibe Repko - ONLINE, William Ou Robert",12,0,12,2,2,257,high,
Georgetown-AgCo-Neg-04---Gonzaga-Round-3.docx,Michigan AO,Gonzaga,3,neg,Southern California TM,W,"Mills Foley, Jordan Ou Robert",14,0,14,2,2,1039,high,
Georgetown-AgCo-Neg-04---Gonzaga-Round-5.docx,Michigan AO,Gonzaga,5,neg,Wake Forest LW,L,"Wolfe Reza Husain - ONLINE, Irshad Ou Robert",6,0,6,1,1,34,high,
Georgetown-AgCo-Neg-04---Gonzaga-Round-7.docx,Michigan AO,Gonzaga,7,neg,George Mason WW - ONLINE,W,"Wright Navarrete - ONLINE, Manny Ou Robert",13,0,13,0,0,0,medium,
Harvard-AoBo-Aff-2.-Gonzaga-Round-2.docx,Michigan AO,Gonzaga,2,aff,Emory KW - ONLINE,W,"Kibe Repko - ONLINE, William Ou Robert",3,3,0,28,28,1985,high,
Harvard-AoBo-Aff-2.-Gonzaga-Round-4.docx,Michigan AO,Gonzaga,4,aff,Emory RY _ ONLINE,W,"Young O'Gorman - ONLINE, Danielle Ou Robert",0,0,0,0,0,0,medium,
Harvard-AoBo-Aff-2.-Gonzaga-Round-6.docx,Michigan AO,Gonzaga,6,aff,UC Berkeley BU,W,"Boguslavsky Spiers, Jared Ou Robert",2,2,0,14,14,2171,high,
Harvard-AoBo-Aff-2.-Gonzaga-Round-7.docx,Michigan AO,Gonzaga,7,aff,George Mason WW - ONLINE,W,"Wright Navarrete - ONLINE, Manny Ou Robert",0,0,0,0,0,0,medium,
Harvard-AoBo-Neg-2.-Gonzaga-Round-1.docx,Michigan AO,Gonzaga,1,neg,CSU Long Beach OM,L,"Medina McCullough, Hunter Ou Robert",3,0,3,10,10,1531,high,
Harvard-AoBo-Neg-2.-Gonzaga-Round-3.docx,Michigan AO,Gonzaga,3,neg,Southern California TM,W,"Mills Foley, Jordan Ou Robert",1,0,1,4,4,2032,high,
Harvard-AoBo-Neg-2.-Gonzaga-Round-5.docx,Michigan AO,Gonzaga,5,neg,Wake Forest LW,L,"Wolfe Reza Husain - ONLINE, Irshad Ou Robert",1,0,1,9,9,1608,high,
Harvard-AoBo-Neg-2.-Gonzaga-Round-8.docx,Michigan AO,Gonzaga,8,neg,Northwestern AT,L,"Tahirkheli Vergho, Tyler Ou Robert",3,0,3,10,10,1272,high,
Michigan-BaPa-Aff-Gonzaga-Round-2.docx,Michigan BP,Gonzaga,2,aff,Gonzaga WR,W,"Roe Symonds, Adam Barrett Eleanor",3,3,0,37,37,3386,high,
Michigan-BaPa-Aff-Gonzaga-Round-3.docx,Michigan BP,Gonzaga,3,aff,Emory LY - ONLINE,W,"Lobo Phillips - ONLINE, Bobby Barrett Eleanor",7,7,0,76,76,6255,high,
Michigan-BaPa-Aff-Gonzaga-Round-5.docx,Michigan BP,Gonzaga,5,aff,Kansas SL,L,"Larson Roetlin - ONLINE, Spencer Barrett Eleanor",9,9,0,63,63,6333,high,
Michigan-BaPa-Aff-Gonzaga-Round-7.docx,Michigan BP,Gonzaga,7,aff,Georgetown AC,L,"Cowan Green, Justin Barrett Eleanor",9,9,0,65,65,4811,high,
Michigan-BaPa-Neg-Gonzaga-Round-1.docx,Michigan BP,Gonzaga,1,neg,Kansas BM,W,"McConnell Greer, Ethan Barrett Eleanor",4,0,4,16,16,3369,high,
Michigan-BaPa-Neg-Gonzaga-Round-4.docx,Michigan BP,Gonzaga,4,neg,Northwestern NP,W,"Patterson Jordan - ONLINE, Tommy Barrett Eleanor",2,0,2,14,14,3025,high,
Michigan-BaPa-Neg-Gonzaga-Round-6.docx,Michigan BP,Gonzaga,6,neg,Stanford LY - ONLINE,W,"Yan Perkins, Dallas Barrett Eleanor",6,0,6,91,91,7071,high,
Michigan-BaPa-Neg-Gonzaga-Round-8.docx,Michigan BP,Gonzaga,8,neg,Wake Forest DE,W,"Elliott Vazquez Torres, Jenny Barrett Eleanor",4,0,4,28,28,2343,high,
Michigan-ChCh-Aff-3---Gonzaga-Round-1.docx,Michigan CC,Gonzaga,1,aff,Georgetown LN,W,"Nanji Di, Jordan Chamarthy Gautam",8,8,0,36,36,3357,high,
Michigan-ChCh-Aff-3---Gonzaga-Round-4.docx,Michigan CC,Gonzaga,4,aff,Binghamton CK,L,"King Foley, Jordan Chamarthy Gautam",2,2,0,22,22,3917,high,
Michigan-ChCh-Aff-3---Gonzaga-Round-5.docx,Michigan CC,Gonzaga,5,aff,Stanford LY - ONLINE,L,"Yan Rao, Bryce Chamarthy Gautam",10,10,0,43,43,3573,high,
Michigan-ChCh-Aff-3---Gonzaga-Round-8.docx,Michigan CC,Gonzaga,8,aff,Emory LY - ONLINE,L,"Lobo Spiers, Jared Chamarthy Gautam",12,12,0,58,58,4265,high,
Michigan-ChCh-Neg-3---Gonzaga-Round-2.docx,Michigan CC,Gonzaga,2,neg,Kansas OW,W,"Owings Vergho, Tyler Chamarthy Gautam",4,0,4,11,11,994,high,
Michigan-ChCh-Neg-3---Gonzaga-Round-3.docx,Michigan CC,Gonzaga,3,neg,Iowa PA - ONLINE,W,"Anderson McElligott Michael, Joshua Chamarthy Gautam",5,0,5,13,13,2299,high,
Michigan-ChCh-Neg-3---Gonzaga-Round-6.docx,Michigan CC,Gonzaga,6,neg,Liberty CL - ONLINE,W,"Layton Roetlin - ONLINE, Spencer Chamarthy Gautam",4,0,4,12,12,2053,high,
Michigan-ChCh-Neg-3---Gonzaga-Round-7.docx,Michigan CC,Gonzaga,7,neg,Kentucky GS,W,"Slish Fleming, Nick Chamarthy Gautam",5,0,5,16,16,1404,high,
Michigan-ChSa-Aff-3---Gonzaga-Round-2.docx,Michigan CS,Gonzaga,2,aff,Baylor DL,L,"Lassen Flores, Jay-Z Saudek Ben",0,0,0,0,0,0,medium,
Michigan-ChSa-Aff-3---Gonzaga-Round-5.docx,Michigan CS,Gonzaga,5,aff,Georgetown AC,L,"Cowan Stannard, Matt Saudek Ben",0,0,0,0,0,0,medium,
Michigan-ChSa-Aff-3---Gonzaga-Round-7.docx,Michigan CS,Gonzaga,7,aff,Emory CR - ONLINE,W,"Charabuddi Maag - ONLINE, Eric Saudek Ben",0,0,0,0,0,0,medium,
Michigan-ChSa-Neg-3---Gonzaga-Round-1.docx,Michigan CS,Gonzaga,1,neg,CSU Long Beach SS - HYBRID,W,"Saenz Baez, Kristiana Saudek Ben",2,0,2,5,5,924,high,
Michigan-ChSa-Neg-3---Gonzaga-Round-4.docx,Michigan CS,Gonzaga,4,neg,Emory KW - ONLINE,W,"Kibe Cavanaugh - ONLINE, Ryan Saudek Ben",1,0,1,10,10,1959,high,
Michigan-ChSa-Neg-3---Gonzaga-Round-6.docx,Michigan CS,Gonzaga,6,neg,Iowa SK - ONLINE,L,"Kleiman Schatz - ONLINE, Joe Saudek Ben",1,0,1,12,12,1727,high,
