file_index,source_file,returncode,success,summary_rows,argument_rows,card_rows,stdout_excerpt,stderr_excerpt
1,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\ArizonaState\SaSm\ArizonaState-SaSm-Neg-3---Gonzaga-Round-1.docx,0,True,1,0,0,Parse complete. | Doc: ArizonaState-SaSm-Neg-3---Gonzaga-Round-1.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
2,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\ArizonaState\SaSm\ArizonaState-SaSm-Neg-3---Gonzaga-Round-4.docx,0,True,1,0,0,Parse complete. | Doc: ArizonaState-SaSm-Neg-3---Gonzaga-Round-4.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
3,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\ArizonaState\SaSm\ArizonaState-SaSm-Neg-3---Gonzaga-Round-5.docx,0,True,1,1,3,Parse complete. | Doc: ArizonaState-SaSm-Neg-3---Gonzaga-Round-5.docx | Positions detected: 1 | Cards detected: 3 | Cards with highlighted/underlined read proxy: 3 | ,
4,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\ArizonaState\SaSm\ArizonaState-SaSm-Neg-3---Gonzaga-Round-7.docx,0,True,1,0,0,Parse complete. | Doc: ArizonaState-SaSm-Neg-3---Gonzaga-Round-7.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
5,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Baylor\DaLa\Baylor-DaLa-Neg-Gonzaga-Round-2.docx,0,True,1,0,0,Parse complete. | Doc: Baylor-DaLa-Neg-Gonzaga-Round-2.docx | Positions detected: 0 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
6,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Baylor\DaLa\Baylor-DaLa-Neg-Gonzaga-Round-3.docx,0,True,1,2,7,Parse complete. | Doc: Baylor-DaLa-Neg-Gonzaga-Round-3.docx | Positions detected: 2 | Cards detected: 7 | Cards with highlighted/underlined read proxy: 7 | ,
7,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Baylor\DaLa\Baylor-DaLa-Neg-Gonzaga-Round-6.docx,0,True,1,4,2,Parse complete. | Doc: Baylor-DaLa-Neg-Gonzaga-Round-6.docx | Positions detected: 4 | Cards detected: 2 | Cards with highlighted/underlined read proxy: 2 | ,
8,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\Baylor\DaLa\Baylor-DaLa-Neg-Gonzaga-Round-8.docx,0,True,1,1,3,Parse complete. | Doc: Baylor-DaLa-Neg-Gonzaga-Round-8.docx | Positions detected: 1 | Cards detected: 3 | Cards with highlighted/underlined read proxy: 3 | ,
9,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\CSULongBeach\OrMe\CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-4.docx,0,True,1,1,0,Parse complete. | Doc: CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-4.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
10,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\CSULongBeach\OrMe\CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-6.docx,0,True,1,1,0,Parse complete. | Doc: CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-6.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
11,1 -- data\raw\9 -- Build Gonzaga Dataset\Gonzaga_only\CSULongBeach\OrMe\CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-8.docx,0,True,1,1,0,Parse complete. | Doc: CSULongBeach-OrMe-Aff-04---Operation_-Gonzigga-(Gonzaga-University-Jesuit-Debates)-Round-8.docx | Positions detected: 1 | Cards detected: 0 | Cards with highlighted/underlined read proxy: 0 | ,
